Name,HP,Attack,Defense,Speed,Special,Type 1,Type 2
Electrode,60,50,70,140,80,Electric,
Exeggcute,60,40,80,40,60,Grass,Psychic
Exeggutor,95,95,85,55,125,Grass,Psychic
Cubone,50,50,95,35,40,Ground,
Marowak,60,80,110,45,50,Ground,
Hitmonlee,50,120,53,87,35,Fighting,
Hitmonchan,50,105,79,76,35,Fighting,
Lickitung,90,55,75,30,60,Normal,
Koffing,40,65,95,35,60,Poison,
Weezing,65,90,120,60,85,Poison,
Rhyhorn,80,85,95,25,30,Rock,Ground
Rhydon,105,130,120,40,45,Rock,Ground
Chansey,250,5,5,50,105,Normal,
Tangela,65,55,115,60,100,Grass,
Kangaskhan,105,95,80,90,40,Normal,
Horsea,30,40,70,60,70,Water,
Seadra,55,65,95,85,95,Water,
Goldeen,45,67,60,63,50,Water,
Seaking,80,92,65,68,80,Water,
Staryu,30,45,55,85,70,Water,
Starmie,60,75,85,115,100,Water,Psychic
Mr. Mime,40,45,65,90,100,Psychic,
Scyther,70,110,80,105,55,Bug,Flying
Jynx,65,50,35,95,95,Ice,Psychic
Electabuzz,65,83,57,105,85,Electric,
Magmar,65,95,57,93,85,Fire,
Pinsir,65,125,100,85,55,Bug,
Tauros,75,100,95,110,70,Normal,
Magikarp,20,10,55,80,20,Water,
Gyarados,95,125,79,81,100,Water,Flying
Lapras,130,85,80,60,95,Water,Ice
Ditto,48,48,48,48,48,Normal,
Eevee,55,55,50,55,65,Normal,
Vaporeon,130,65,60,65,110,Water,
Jolteon,65,65,60,130,110,Electric,
Flareon,65,130,60,65,110,Fire,
Porygon,65,60,70,40,75,Normal,
Omanyte,35,40,100,35,90,Rock,Water
Omastar,70,60,125,55,115,Rock,Water
Kabuto,30,80,90,55,45,Rock,Water
Kabutops,60,115,105,80,70,Rock,Water
Aerodactyl,80,105,65,130,60,Rock,Flying
Snorlax,160,110,65,30,65,Normal,
Articuno,90,85,100,85,125,Ice,Flying
Zapdos,90,90,85,100,125,Electric,Flying
Moltres,90,100,90,90,125,Fire,Flying
Dratini,41,64,45,50,50,Dragon,
Dragonair,61,84,65,70,70,Dragon,
Dragonite,91,134,95,80,100,Dragon,Flying
Mewtwo,106,110,90,130,154,Psychic,
Mew,100,100,100,100,100,Psychic,
